station_id,station_name,arrond_name,arrond_abbrev,arrond_area
6330,de Gaspé / Jarry,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6331,Guizot / St-Denis,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6332,de Gaspé / de Liège,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6333,Leman / de Chateaubriand,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6334,Métro Jarry (Lajeunesse / Jarry),Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6335,du Rosaire / St-Hubert,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6336,Faillon / St-Hubert,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6338,de Chateaubriand / Jarry,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6339,Harvard / de Monkland,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6340,de la Roche / Everett,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6341,Regina / de Verdun,Verdun,VD,22328673.5349607
6343,Marquette / Villeray,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6344,St-Dominique / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6345,Louis-Hémon / Villeray,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6346,Nicolet / Sherbrooke,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6347,Métro St-Michel (Shaughnessy / St-Michel),Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6349,Ryde / Charlevoix,Le Sud-Ouest,SO,18144269.4942672
6350,Island / Centre,Le Sud-Ouest,SO,18144269.4942672
6354,Marcil / Sherbrooke,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6355,Ontario / Sicard,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6356,de Monkland / Girouard,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6357,13e avenue / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6358,1ère  avenue / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6359,Ste-Catherine / St-Laurent,Ville-Marie,VM,21500631.743203
6360,8e avenue / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6361,Molson / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6362,1ère avenue / Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6363,de la Côte St-Antoine / Royal,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6364,de Chambly / Rachel,Rosemont-La Petite-Patrie,RO,15886530.2734387
6366,Wilderton  / Van Horne,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6367,3e avenue / Dandurand,Rosemont-La Petite-Patrie,RO,15886530.2734387
6368,10e avenue / Masson,Rosemont-La Petite-Patrie,RO,15886530.2734387
6369,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6370,d'Orléans / Masson,Rosemont-La Petite-Patrie,RO,15886530.2734387
6371,4e avenue / Masson,Rosemont-La Petite-Patrie,RO,15886530.2734387
6372,1ère avenue / Masson,Rosemont-La Petite-Patrie,RO,15886530.2734387
6373,7e avenue / St-Joseph Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6374,15e avenue / Masson,Rosemont-La Petite-Patrie,RO,15886530.2734387
6375,Métro Place St-Henri (St-Ferdinand / St-Jacques),Le Sud-Ouest,SO,18144269.4942672
6376,de Chambly / St-Joseph,Rosemont-La Petite-Patrie,RO,15886530.2734387
6377,Grand Trunk / Hibernia,Le Sud-Ouest,SO,18144269.4942672
6379,de l'Église / Bannantyne,Verdun,VD,22328673.5349607
6380,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),Rosemont-La Petite-Patrie,RO,15886530.2734387
6381,Omer-Lavallée / du Midway,Rosemont-La Petite-Patrie,RO,15886530.2734387
